symbol,date,date_repo,profit_from_operations,net_cash_flows_from_opt_act,roe,opt_profit_growth_ratio,NmC,basic_eps,roic_ttm
000001.SZ,2005-07-01,2005-04-26,1003014297.0,-1911062663.0,3.2368,16.6038,-2100349756.0,,
000001.SZ,2005-10-01,2005-08-19,1982690802.0,-1361021085.0,3.2962,-175.401,-1423639027.0,,
000001.SZ,2006-01-01,2005-10-29,2975615387.0,-3963236835.0,7.5554,35.6585,-4062972268.0,,3.5983
000001.SZ,2006-04-01,2006-04-01,3718996430.0,-4285584486.0,7.2315,-68.787,-5158280002.0,,6.4428
000001.SZ,2006-07-01,2006-04-26,330829778.0,13663330688.0,4.5247,-67.0164,13627075707.0,0.12,14.0472
000001.SZ,2006-10-01,2006-08-18,709761575.0,2731155320.0,8.7187,156.7949,2633462081.0,,15.4709
000001.SZ,2007-01-01,2006-10-25,1380158392.0,6253524904.0,16.0457,229.6576,6189956213.0,,2.901
000001.SZ,2007-04-01,2007-03-22,1905168852.0,7410385467.0,22.6248,422.5636,7160402124.0,0.67,19.7454
000001.SZ,2007-07-01,2007-04-26,818018513.0,3719363531.0,7.8801,147.2627,,0.27,14.7557
000001.SZ,2007-10-01,2007-08-16,1681775000.0,13170709000.0,15.861,93.1113,13073664000.0,0.54,21.1046
000001.SZ,2008-01-01,2007-10-23,2776427000.0,20584237000.0,25.2543,55.7093,19947465000.0,0.9,32.3274
000001.SZ,2008-04-01,2008-03-20,3721942000.0,17051576000.0,27.2057,68.8676,16679378000.0,1.27,
000001.SZ,2008-07-01,2008-04-24,1376351000.0,3826091000.0,7.4253,68.1444,3777409000.0,0.44,0.9903
000001.SZ,2008-10-01,2008-08-21,2840996000.0,9286973000.0,14.3164,69.6719,9188340000.0,0.93,
000001.SZ,2009-01-01,2008-10-24,4364204000.0,39545668000.0,21.1403,39.15,39067967000.0,1.42,14.8383
000001.SZ,2009-04-01,2009-03-20,803426000.0,24342611000.0,4.1761,-476.5967,23504608000.0,0.2,4.5836
000001.SZ,2009-07-01,2009-04-24,1513634000.0,2706389000.0,6.7044,9.9744,2621457000.0,0.36,0.5303
000001.SZ,2009-10-01,2009-08-21,2921529000.0,3844868000.0,13.4429,-3.8747,3592437000.0,0.74,12.1417
000002.SZ,2005-07-01,2005-04-25,369362449.59,-928059063.71,3.9805,123.1435,-931677385.89,,6.7932
000002.SZ,2005-10-01,2005-08-01,1104065696.74,-954516641.78,12.3648,139.7605,-970285800.13,,4.0047
000002.SZ,2006-01-01,2005-10-31,1254763816.13,-471902071.17,13.4734,39.7016,-501341970.59000003,,2.4794
000002.SZ,2006-04-01,2006-03-21,1958371071.15,843439134.65,18.6105,3.552,795999582.4499999,,2.8516
000002.SZ,2006-07-01,2006-04-25,591166878.0,-1722876262.04,4.6195,60.0506,-1732558531.85,0.11,9.6194
000002.SZ,2006-10-01,2006-08-01,1817966556.63,-3198738756.07,13.58,66.9789,-3243177341.73,0.33,12.6177
000002.SZ,2007-01-01,2006-10-31,2044385238.36,-4303268849.01,15.9207,50.2465,-4393178837.17,0.37,6.6259
